module,class,name,type,response_options,response_options_intro,randomise_options_order,validate,generate_speculation_score,format_response
conjoint,Player,chosen_profile,category,"[""Profile A"", ""Profile B""]",Which policy profile do you prefer?,FALSE,TRUE,TRUE,TRUE
conjoint,Player,choice_confidence,integer,"[1, 2, 3, 4, 5, 6, 7]","On a scale of 1 to 7, how confident are you in your choice?",FALSE,TRUE,TRUE,TRUE
conjoint,Player,choice_reasoning,text,,,FALSE,FALSE,FALSE,TRUE
conjoint,Player,profile_a_tax_rate,text,"[""10% flat tax"", ""Progressive (15-35%)"", ""Current rates maintained""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_a_healthcare_spending,text,"[""Increase by 20%"", ""Maintain current levels"", ""Decrease by 15%""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_a_education_spending,text,"[""Double public school funding"", ""Maintain current levels"", ""Shift to voucher system""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_a_immigration_policy,text,"[""Open borders"", ""Points-based system"", ""Reduce by 50%""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_a_climate_policy,text,"[""Carbon tax ($50/ton)"", ""Green subsidies only"", ""No new regulations""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_b_tax_rate,text,"[""10% flat tax"", ""Progressive (15-35%)"", ""Current rates maintained""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_b_healthcare_spending,text,"[""Increase by 20%"", ""Maintain current levels"", ""Decrease by 15%""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_b_education_spending,text,"[""Double public school funding"", ""Maintain current levels"", ""Shift to voucher system""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_b_immigration_policy,text,"[""Open borders"", ""Points-based system"", ""Reduce by 50%""]",,FALSE,TRUE,FALSE,TRUE
conjoint,Player,profile_b_climate_policy,text,"[""Carbon tax ($50/ton)"", ""Green subsidies only"", ""No new regulations""]",,FALSE,TRUE,FALSE,TRUE
debrief,Player,most_important_attribute,category,"[""Tax rate"", ""Healthcare spending"", ""Education spending"", ""Immigration policy"", ""Climate policy""]",Which policy attribute was most important to your decisions?,TRUE,TRUE,TRUE,TRUE
debrief,Player,comments,text,,,FALSE,FALSE,FALSE,TRUE
